source,target,lag,pval,val,abs_val,source_group,target_group,hierarchy_allowed,method,use_autolag,use_hierarchy,tau_setting,bootstrap_stability,bootstrap_count,bootstrap_reps
energy/co2_dosage,substrate_bulk_ec_mean,23,0.060261888762950584,-0.01762102382288775,0.01762102382288775,Action,State,True,hierarchical_autolag_pcmciplus,True,True,target_specific_autolag,0.1,3.0,30.0
energy/energy_use.heating,substrate_bulk_ec_mean,15,1.704191517896342e-05,-0.04031716434039723,0.04031716434039723,Action,State,True,hierarchical_autolag_pcmciplus,True,True,target_specific_autolag,0.0,,
substrate_bulk_ec_mean,substrate_bulk_ec_mean,1,0.0,0.7500345827628361,0.7500345827628361,State,State,True,hierarchical_autolag_pcmciplus,True,True,target_specific_autolag,1.0,30.0,30.0
substrate_bulk_ec_mean,substrate_bulk_ec_mean,2,8.170326049123531e-14,-0.06998173010742637,0.06998173010742637,State,State,True,hierarchical_autolag_pcmciplus,True,True,target_specific_autolag,0.6666666666666666,20.0,30.0
substrate_bulk_ec_mean,substrate_bulk_ec_mean,3,1.5062783059113796e-10,-0.06004641073577498,0.06004641073577498,State,State,True,hierarchical_autolag_pcmciplus,True,True,target_specific_autolag,0.1,3.0,30.0
compartment/screen_energy/screen_position,substrate_relative_permittivity_mean,1,0.03914114511987568,-0.01933708990776929,0.01933708990776929,Action,State,True,hierarchical_autolag_pcmciplus,True,True,target_specific_autolag,0.06666666666666667,2.0,30.0
compartment/water_supply/water_flow_duration,substrate_relative_permittivity_mean,1,4.6992562761276375e-05,-0.038145461645949445,0.038145461645949445,Action,State,True,hierarchical_autolag_pcmciplus,True,True,target_specific_autolag,0.9333333333333333,28.0,30.0
substrate_relative_permittivity_mean,substrate_relative_permittivity_mean,1,0.0,0.7862863435840164,0.7862863435840164,State,State,True,hierarchical_autolag_pcmciplus,True,True,target_specific_autolag,1.0,30.0,30.0
compartment/screen_blackout/screen_position,substrate_temperature_mean,1,0.013942439152338268,0.023058067866768443,0.023058067866768443,Action,State,True,hierarchical_autolag_pcmciplus,True,True,target_specific_autolag,0.0,,
compartment/screen_blackout/screen_position,substrate_temperature_mean,3,0.00546015823834341,-0.026056284609955363,0.026056284609955363,Action,State,True,hierarchical_autolag_pcmciplus,True,True,target_specific_autolag,0.0,,
energy/co2_dosage,substrate_temperature_mean,2,0.0003003329720553863,0.03389631840958136,0.03389631840958136,Action,State,True,hierarchical_autolag_pcmciplus,True,True,target_specific_autolag,0.3333333333333333,10.0,30.0
energy/electricity_use.lighting,substrate_temperature_mean,1,2.74923003705736e-29,0.10508259564927626,0.10508259564927626,Action,State,True,hierarchical_autolag_pcmciplus,True,True,target_specific_autolag,0.7333333333333333,22.0,30.0
substrate_temperature_mean,substrate_temperature_mean,1,0.0,0.8847141802220531,0.8847141802220531,State,State,True,hierarchical_autolag_pcmciplus,True,True,target_specific_autolag,1.0,30.0,30.0
substrate_temperature_mean,substrate_temperature_mean,2,0.0,-0.4231231972194913,0.4231231972194913,State,State,True,hierarchical_autolag_pcmciplus,True,True,target_specific_autolag,0.0,,
substrate_temperature_mean,substrate_temperature_mean,3,2.001291791303558e-11,0.0628647075125135,0.0628647075125135,State,State,True,hierarchical_autolag_pcmciplus,True,True,target_specific_autolag,0.03333333333333333,1.0,30.0
substrate_temperature_mean,substrate_temperature_mean,5,0.000695456063972785,0.03181715521502921,0.03181715521502921,State,State,True,hierarchical_autolag_pcmciplus,True,True,target_specific_autolag,0.0,,
