source,target,lag,pval,val,abs_val,source_group,target_group,hierarchy_allowed,tau_max
energy/energy_use.heating,compartment/humidity_deficit,1,2.5390694111902722e-20,0.08625317650903361,0.08625317650903361,Action,State,True,6
compartment/air_temperature,compartment/leaf_temperature,1,6.441397419766004e-25,0.09625108000053005,0.09625108000053005,State,Physiology,True,6
compartment/air_temperature,compartment/leaf_temperature,4,0.00014347224117102741,-0.03557452337146186,0.03557452337146186,State,Physiology,True,6
compartment/humidity_deficit,compartment/leaf_temperature,4,0.00011069459836171123,-0.03616125089840248,0.03616125089840248,State,Physiology,True,6
compartment/leaf_temperature,compartment/leaf_temperature,1,0.0,0.6231733676380083,0.6231733676380083,Physiology,Physiology,True,6
compartment/leaf_temperature,compartment/leaf_temperature,4,1.6484241858370658e-14,0.07170816065557525,0.07170816065557525,Physiology,Physiology,True,6
compartment/par,compartment/leaf_temperature,1,7.119035575201903e-13,0.06706931107376157,0.06706931107376157,State,Physiology,True,6
compartment/par,compartment/par,1,0.0,0.5362410362283799,0.5362410362283799,State,State,True,6
compartment/par,compartment/par,2,6.803565978962153e-11,0.06098646348217619,0.06098646348217619,State,State,True,6
compartment/par,compartment/par,3,5.590241392294915e-11,0.061263212352340876,0.061263212352340876,State,State,True,6
compartment/par,compartment/par,5,2.176857514159704e-07,0.04847005622825856,0.04847005622825856,State,State,True,6
energy/co2_dosage,compartment/par,1,0.0009328492808839737,0.030957909791543878,0.030957909791543878,Action,State,True,6
energy/electricity_use.lighting,compartment/par,1,9.978236295831238e-43,0.1276283325832642,0.1276283325832642,Action,State,True,6
energy/electricity_use.lighting,compartment/par,2,1.0409638465636315e-05,-0.04121839960298424,0.04121839960298424,Action,State,True,6
compartment/screen_blackout/screen_position,compartment/screen_blackout/screen_position,1,0.0,0.791849124687441,0.791849124687441,Action,Action,True,6
compartment/screen_blackout/screen_position,compartment/screen_blackout/screen_position,2,2.775353217547454e-162,-0.24982100904688587,0.24982100904688587,Action,Action,True,6
compartment/screen_blackout/screen_position,compartment/screen_blackout/screen_position,3,9.66509373284203e-07,0.0457838514882951,0.0457838514882951,Action,Action,True,6
compartment/screen_energy/screen_position,compartment/screen_energy/screen_position,1,0.0,0.7835708772432389,0.7835708772432389,Action,Action,True,6
compartment/screen_energy/screen_position,compartment/screen_energy/screen_position,2,1.2699114823638374e-162,-0.25007710473955724,0.25007710473955724,Action,Action,True,6
compartment/screen_energy/screen_position,compartment/screen_energy/screen_position,3,6.0349313350528035e-12,0.06426231461484631,0.06426231461484631,Action,Action,True,6
compartment/water_supply/water_flow_duration,compartment/water_supply/water_flow_duration,1,0.0,0.8542593698141253,0.8542593698141253,Action,Action,True,6
compartment/water_supply/water_flow_duration,compartment/water_supply/water_flow_duration,2,0.0,-0.4676879791391523,0.4676879791391523,Action,Action,True,6
compartment/water_supply/water_flow_duration,compartment/water_supply/water_flow_duration,3,1.2449796780136639e-171,0.2567988067002404,0.2567988067002404,Action,Action,True,6
compartment/water_supply/water_flow_duration,compartment/water_supply/water_flow_duration,4,2.2416189387221036e-40,-0.1239366686436017,0.1239366686436017,Action,Action,True,6
compartment/water_supply/water_flow_duration,compartment/water_supply/water_flow_duration,5,6.7542128698860495e-06,0.042083513821674814,0.042083513821674814,Action,Action,True,6
compartment/window_position_lee_side,compartment/window_position_lee_side,1,0.0,0.690441168771651,0.690441168771651,Action,Action,True,6
compartment/window_position_lee_side,compartment/window_position_lee_side,2,4.583080535964593e-19,-0.08328657573072445,0.08328657573072445,Action,Action,True,6
compartment/window_position_lee_side,compartment/window_position_lee_side,4,7.351099683845741e-08,0.05030255342215793,0.05030255342215793,Action,Action,True,6
compartment/window_position_wind_side,compartment/window_position_wind_side,1,0.0,0.6998534662854529,0.6998534662854529,Action,Action,True,6
compartment/window_position_wind_side,compartment/window_position_wind_side,2,7.404973622612788e-25,-0.09604695756225205,0.09604695756225205,Action,Action,True,6
compartment/window_position_wind_side,compartment/window_position_wind_side,4,2.965887117157805e-15,0.07370325969931611,0.07370325969931611,Action,Action,True,6
energy/co2_dosage,energy/co2_dosage,1,0.0,0.5024555236486014,0.5024555236486014,Action,Action,True,6
energy/co2_dosage,energy/co2_dosage,2,4.528261396776276e-07,0.04715797437338723,0.04715797437338723,Action,Action,True,6
energy/co2_dosage,energy/co2_dosage,3,6.91725936073901e-11,0.06094465321200919,0.06094465321200919,Action,Action,True,6
energy/co2_dosage,energy/co2_dosage,4,2.969315995789475e-06,0.043684803843454606,0.043684803843454606,Action,Action,True,6
energy/co2_dosage,energy/co2_dosage,5,0.0008509722255782336,0.031192017135323647,0.031192017135323647,Action,Action,True,6
energy/co2_dosage,energy/co2_dosage,6,0.003404511962077882,0.02738864419453779,0.02738864419453779,Action,Action,True,6
energy/electricity_use.lighting,energy/electricity_use.lighting,1,0.0,0.7698507910492904,0.7698507910492904,Action,Action,True,6
energy/electricity_use.lighting,energy/electricity_use.lighting,2,6.935410844128225e-54,-0.14377697064924538,0.14377697064924538,Action,Action,True,6
energy/electricity_use.lighting,energy/electricity_use.lighting,6,4.506845535766725e-19,-0.08330385168569808,0.08330385168569808,Action,Action,True,6
energy/energy_use.heating,energy/energy_use.heating,1,0.0,0.7547308560538638,0.7547308560538638,Action,Action,True,6
energy/energy_use.heating,energy/energy_use.heating,2,2.3527848671249806e-149,-0.23985040438258332,0.23985040438258332,Action,Action,True,6
energy/energy_use.heating,energy/energy_use.heating,3,3.011427959724765e-08,0.051780968523875565,0.051780968523875565,Action,Action,True,6
energy/energy_use.heating,energy/energy_use.heating,6,7.45395305815768e-09,0.054019220686587266,0.054019220686587266,Action,Action,True,6
compartment/water_supply/water_flow_duration,substrate_bulk_ec_mean,1,1.4462099478385908e-16,-0.07715497771097146,0.07715497771097146,Action,State,True,6
compartment/water_supply/water_flow_duration,substrate_bulk_ec_mean,2,6.715373218961162e-16,0.0754327818073568,0.0754327818073568,Action,State,True,6
compartment/water_supply/water_flow_duration,substrate_bulk_ec_mean,3,1.7615914821031734e-14,-0.07162881043730396,0.07162881043730396,Action,State,True,6
energy/co2_dosage,substrate_bulk_ec_mean,1,0.03542906763521591,0.01967471083240175,0.01967471083240175,Action,State,True,6
substrate_bulk_ec_mean,substrate_bulk_ec_mean,1,0.0,0.7529319845216494,0.7529319845216494,State,State,True,6
substrate_bulk_ec_mean,substrate_bulk_ec_mean,2,2.5905535104060503e-14,-0.07116310877784032,0.07116310877784032,State,State,True,6
substrate_bulk_ec_mean,substrate_bulk_ec_mean,3,4.2479316623796976e-11,-0.06163900997125852,0.06163900997125852,State,State,True,6
compartment/water_supply/water_flow_duration,substrate_relative_permittivity_mean,1,6.6517839224212635e-18,-0.08049852007857629,0.08049852007857629,Action,State,True,6
compartment/water_supply/water_flow_duration,substrate_relative_permittivity_mean,2,8.236895315287889e-19,0.08269855124089504,0.08269855124089504,Action,State,True,6
compartment/water_supply/water_flow_duration,substrate_relative_permittivity_mean,3,3.002899670123231e-16,-0.07633870453512018,0.07633870453512018,Action,State,True,6
substrate_relative_permittivity_mean,substrate_relative_permittivity_mean,1,0.0,0.7786448147844927,0.7786448147844927,State,State,True,6
substrate_relative_permittivity_mean,substrate_relative_permittivity_mean,2,4.140177668411181e-71,-0.16560953961624014,0.16560953961624014,State,State,True,6
substrate_relative_permittivity_mean,substrate_relative_permittivity_mean,4,1.7032009008136968e-10,0.05967956245328039,0.05967956245328039,State,State,True,6
compartment/heating_lower_circuit/pipe_temperature,substrate_temperature_mean,6,0.0526019286998067,0.01813170268962716,0.01813170268962716,Action,State,True,6
compartment/screen_blackout/screen_position,substrate_temperature_mean,1,0.008136460715415551,0.024753909179822578,0.024753909179822578,Action,State,True,6
compartment/water_supply/water_flow_duration,substrate_temperature_mean,6,0.0433796646782624,-0.018899038808465392,0.018899038808465392,Action,State,True,6
energy/co2_dosage,substrate_temperature_mean,2,4.0153962170461184e-05,0.038406320511870956,0.038406320511870956,Action,State,True,6
energy/electricity_use.lighting,substrate_temperature_mean,1,1.2704468953243482e-23,0.09351698916675776,0.09351698916675776,Action,State,True,6
substrate_temperature_mean,substrate_temperature_mean,1,0.0,0.8847843485222521,0.8847843485222521,State,State,True,6
substrate_temperature_mean,substrate_temperature_mean,2,0.0,-0.4236758425582521,0.4236758425582521,State,State,True,6
substrate_temperature_mean,substrate_temperature_mean,3,2.1131103181549384e-11,0.06262276832826034,0.06262276832826034,State,State,True,6
substrate_temperature_mean,substrate_temperature_mean,6,4.448843487359811e-05,-0.0381993951080877,0.0381993951080877,State,State,True,6
